iter	Passed	Remaining
0	2	412
1	5	379
2	7	372
3	9	355
4	12	364
5	14	354
6	17	349
7	19	344
8	21	339
9	23	335
10	26	331
11	28	327
12	30	324
13	32	320
14	35	316
15	37	313
16	39	311
17	42	308
18	44	306
19	46	304
20	49	302
21	51	299
22	53	296
23	56	294
24	58	292
25	60	288
26	63	287
27	65	284
28	67	282
29	69	279
30	72	277
31	74	275
32	77	273
33	79	271
34	81	268
35	84	266
36	86	263
37	88	261
38	90	258
39	93	256
40	95	253
41	97	251
42	99	248
43	102	246
44	104	243
45	106	241
46	108	238
47	111	236
48	113	234
49	115	231
50	118	229
51	120	226
52	122	224
53	124	222
54	127	219
55	129	217
56	131	215
57	134	213
58	136	210
59	138	208
60	141	206
61	143	204
62	146	202
63	148	199
64	150	197
65	153	194
66	155	192
67	157	190
68	160	187
69	162	185
70	164	183
71	166	180
72	168	178
73	171	176
74	173	173
75	175	171
76	178	168
77	180	166
78	182	164
79	184	161
80	187	159
81	189	157
82	192	155
83	194	152
84	196	150
85	198	147
86	201	145
87	204	144
88	208	142
89	211	141
90	214	139
91	217	137
92	220	135
93	223	133
94	226	131
95	230	129
96	233	127
97	236	125
98	238	123
99	242	121
100	245	119
101	248	117
102	252	115
103	254	112
104	258	110
105	261	108
106	264	106
107	267	104
108	270	101
109	274	99
110	277	97
111	280	95
112	283	92
113	286	90
114	288	87
115	291	85
116	294	83
117	297	80
118	300	78
119	303	75
120	305	73
121	308	70
122	311	68
123	313	65
124	315	63
125	318	60
126	321	58
127	324	55
128	327	53
129	329	50
130	332	48
131	335	45
132	338	43
133	340	40
134	343	38
135	345	35
136	348	33
137	350	30
138	353	28
139	356	25
140	359	22
141	361	20
142	364	17
143	366	15
144	369	12
145	372	10
146	375	7
147	379	5
148	381	2
149	385	0
